cityName,stateName,cityCode,locationType,aliasCityName,weightage
Kandahar,Maharashtra,MMTCC41174,CITY,,5000
Baliapal,Odisha,MMTCC41175,CITY,,5000
Nissu,Jammu and Kashmir,MMTCC41176,CITY,,5000
Sonala,Maharashtra,MMTCC41177,CITY,,5000
Jatoli (rajasthan),Rajasthan,MMTCC41178,CITY,,5000
Barkot,Uttarakhand,MMTCC41179,CITY,,5000
Khaniadhana,Madhya Pradesh,MMTCC41180,CITY,,5000
Jagannathpur,Jharkhand,MMTCC41181,CITY,,5000
Bhasma,Odisha,MMTCC41182,CITY,,5000
Ridmalsar,Rajasthan,MMTCC41183,CITY,,5000
